Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,10.57,10.57,10.57,10.57,000,10.57
2016-09-12,10.58,10.58,10.58,10.58,000,10.58
2016-09-09,10.57,10.57,10.57,10.57,000,10.57
2016-09-08,10.58,10.58,10.58,10.58,000,10.58
2016-09-07,10.60,10.60,10.60,10.60,000,10.60
2016-09-06,10.60,10.60,10.60,10.60,000,10.60
2016-09-02,10.58,10.58,10.58,10.58,000,10.58
2016-09-01,10.58,10.58,10.58,10.58,000,10.58
2016-08-31,10.58,10.58,10.58,10.58,000,10.58
2016-08-30,10.58,10.58,10.58,10.58,000,10.567
2016-08-29,10.58,10.58,10.58,10.58,000,10.567
2016-08-26,10.57,10.57,10.57,10.57,000,10.557012
2016-08-25,10.59,10.59,10.59,10.59,000,10.576988
2016-08-24,10.60,10.60,10.60,10.60,000,10.586976
2016-08-23,10.60,10.60,10.60,10.60,000,10.586976
2016-08-22,10.60,10.60,10.60,10.60,000,10.586976
2016-08-19,10.59,10.59,10.59,10.59,000,10.576988
2016-08-18,10.60,10.60,10.60,10.60,000,10.586976
2016-08-17,10.60,10.60,10.60,10.60,000,10.586976
2016-08-16,10.59,10.59,10.59,10.59,000,10.576988
2016-08-15,10.60,10.60,10.60,10.60,000,10.586976
2016-08-12,10.60,10.60,10.60,10.60,000,10.586976
2016-08-11,10.59,10.59,10.59,10.59,000,10.576988
2016-08-10,10.61,10.61,10.61,10.61,000,10.596963
2016-08-09,10.60,10.60,10.60,10.60,000,10.586976
2016-08-08,10.59,10.59,10.59,10.59,000,10.576988
2016-08-05,10.59,10.59,10.59,10.59,000,10.576988
2016-08-04,10.62,10.62,10.62,10.62,000,10.606951
2016-08-03,10.61,10.61,10.61,10.61,000,10.596963
2016-08-02,10.61,10.61,10.61,10.61,000,10.596963
2016-08-01,10.61,10.61,10.61,10.61,000,10.596963
2016-07-29,10.62,10.62,10.62,10.62,000,10.606951
2016-07-28,10.61,10.61,10.61,10.61,000,10.583979
2016-07-27,10.60,10.60,10.60,10.60,000,10.574004
2016-07-26,10.59,10.59,10.59,10.59,000,10.564028
2016-07-25,10.59,10.59,10.59,10.59,000,10.564028
2016-07-22,10.60,10.60,10.60,10.60,000,10.574004
2016-07-21,10.60,10.60,10.60,10.60,000,10.574004
2016-07-20,10.59,10.59,10.59,10.59,000,10.564028
2016-07-19,10.60,10.60,10.60,10.60,000,10.574004
2016-07-18,10.60,10.60,10.60,10.60,000,10.574004
2016-07-15,10.59,10.59,10.59,10.59,000,10.564028
2016-07-14,10.60,10.60,10.60,10.60,000,10.574004
2016-07-13,10.61,10.61,10.61,10.61,000,10.583979
2016-07-12,10.60,10.60,10.60,10.60,000,10.574004
2016-07-11,10.62,10.62,10.62,10.62,000,10.593954
2016-07-08,10.63,10.63,10.63,10.63,000,10.60393
2016-07-07,10.63,10.63,10.63,10.63,000,10.60393
2016-07-06,10.63,10.63,10.63,10.63,000,10.60393
2016-07-05,10.64,10.64,10.64,10.64,000,10.613906
2016-07-01,10.62,10.62,10.62,10.62,000,10.593954
2016-06-30,10.62,10.62,10.62,10.62,000,10.593954
2016-06-29,10.61,10.61,10.61,10.61,000,10.572008
2016-06-28,10.62,10.62,10.62,10.62,000,10.581972
2016-06-27,10.62,10.62,10.62,10.62,000,10.581972
2016-06-24,10.60,10.60,10.60,10.60,000,10.562044
2016-06-23,10.57,10.57,10.57,10.57,000,10.532151
2016-06-22,10.58,10.58,10.58,10.58,000,10.542116
2016-06-21,10.58,10.58,10.58,10.58,000,10.542116
2016-06-20,10.58,10.58,10.58,10.58,000,10.542116
2016-06-17,10.59,10.59,10.59,10.59,000,10.55208
2016-06-16,10.60,10.60,10.60,10.60,000,10.562044
2016-06-15,10.60,10.60,10.60,10.60,000,10.562044
2016-06-14,10.59,10.59,10.59,10.59,000,10.55208
2016-06-13,10.59,10.59,10.59,10.59,000,10.55208
2016-06-10,10.58,10.58,10.58,10.58,000,10.542116
2016-06-09,10.57,10.57,10.57,10.57,000,10.532151
2016-06-08,10.57,10.57,10.57,10.57,000,10.532151
2016-06-07,10.57,10.57,10.57,10.57,000,10.532151
2016-06-06,10.56,10.56,10.56,10.56,000,10.522188
2016-06-03,10.57,10.57,10.57,10.57,000,10.532151
2016-06-02,10.54,10.54,10.54,10.54,000,10.502259
2016-06-01,10.53,10.53,10.53,10.53,000,10.492294
2016-05-31,10.53,10.53,10.53,10.53,000,10.492294
2016-05-27,10.52,10.52,10.52,10.52,000,10.470374
2016-05-26,10.54,10.54,10.54,10.54,000,10.490279
2016-05-25,10.52,10.52,10.52,10.52,000,10.470374
2016-05-24,10.52,10.52,10.52,10.52,000,10.470374
2016-05-23,10.53,10.53,10.53,10.53,000,10.480326
2016-05-20,10.53,10.53,10.53,10.53,000,10.480326
2016-05-19,10.53,10.53,10.53,10.53,000,10.480326
2016-05-18,10.53,10.53,10.53,10.53,000,10.480326
2016-05-17,10.55,10.55,10.55,10.55,000,10.500232
2016-05-16,10.56,10.56,10.56,10.56,000,10.510185
2016-05-13,10.57,10.57,10.57,10.57,000,10.520137
2016-05-12,10.57,10.57,10.57,10.57,000,10.520137
2016-05-11,10.58,10.58,10.58,10.58,000,10.53009
2016-05-10,10.58,10.58,10.58,10.58,000,10.53009
2016-05-09,10.58,10.58,10.58,10.58,000,10.53009
2016-05-06,10.57,10.57,10.57,10.57,000,10.520137
2016-05-05,10.58,10.58,10.58,10.58,000,10.53009
2016-05-04,10.57,10.57,10.57,10.57,000,10.520137
2016-05-03,10.57,10.57,10.57,10.57,000,10.520137
2016-05-02,10.55,10.55,10.55,10.55,000,10.500232
2016-04-29,10.56,10.56,10.56,10.56,000,10.510185
2016-04-28,10.56,10.56,10.56,10.56,000,10.498242
2016-04-27,10.55,10.55,10.55,10.55,000,10.4883
2016-04-26,10.53,10.53,10.53,10.53,000,10.468417
2016-04-25,10.54,10.54,10.54,10.54,000,10.478358
2016-04-22,10.54,10.54,10.54,10.54,000,10.478358
2016-04-21,10.54,10.54,10.54,10.54,000,10.478358
2016-04-20,10.55,10.55,10.55,10.55,000,10.4883
2016-04-19,10.56,10.56,10.56,10.56,000,10.498242
2016-04-18,10.56,10.56,10.56,10.56,000,10.498242
2016-04-15,10.57,10.57,10.57,10.57,000,10.508183
