Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,14.64,14.64,14.64,14.64,000,14.64
2016-09-15,14.56,14.56,14.56,14.56,000,14.56
2016-09-14,14.60,14.60,14.60,14.60,000,14.60
2016-09-13,14.59,14.59,14.59,14.59,000,14.59
2016-09-12,14.73,14.73,14.73,14.73,000,14.73
2016-09-09,14.75,14.75,14.75,14.75,000,14.75
2016-09-08,14.95,14.95,14.95,14.95,000,14.95
2016-09-07,15.10,15.10,15.10,15.10,000,15.10
2016-09-06,15.10,15.10,15.10,15.10,000,15.10
2016-09-02,15.02,15.02,15.02,15.02,000,15.02
2016-09-01,15.12,15.12,15.12,15.12,000,15.12
2016-08-31,15.11,15.11,15.11,15.11,000,15.11
2016-08-30,15.11,15.11,15.11,15.11,000,15.063999
2016-08-29,15.15,15.15,15.15,15.15,000,15.103877
2016-08-26,15.00,15.00,15.00,15.00,000,14.954334
2016-08-25,15.06,15.06,15.06,15.06,000,15.014152
2016-08-24,15.11,15.11,15.11,15.11,000,15.063999
2016-08-23,15.12,15.12,15.12,15.12,000,15.073969
2016-08-22,15.11,15.11,15.11,15.11,000,15.063999
2016-08-19,15.01,15.01,15.01,15.01,000,14.964304
2016-08-18,15.07,15.07,15.07,15.07,000,15.024121
2016-08-17,15.05,15.05,15.05,15.05,000,15.004182
2016-08-16,14.98,14.98,14.98,14.98,000,14.934395
2016-08-15,15.00,15.00,15.00,15.00,000,14.954334
2016-08-12,15.10,15.10,15.10,15.10,000,15.05403
2016-08-11,15.00,15.00,15.00,15.00,000,14.954334
2016-08-10,15.09,15.09,15.09,15.09,000,15.044061
2016-08-09,15.04,15.04,15.04,15.04,000,14.994213
2016-08-08,14.92,14.92,14.92,14.92,000,14.874578
2016-08-05,14.88,14.88,14.88,14.88,000,14.8347
2016-08-04,14.99,14.99,14.99,14.99,000,14.944365
2016-08-03,14.90,14.90,14.90,14.90,000,14.854639
2016-08-02,14.90,14.90,14.90,14.90,000,14.854639
2016-08-01,15.03,15.03,15.03,15.03,000,14.984243
2016-07-29,15.17,15.17,15.17,15.17,000,15.123817
2016-07-28,15.08,15.08,15.08,15.08,000,14.988231
2016-07-27,15.11,15.11,15.11,15.11,000,15.018048
2016-07-26,14.98,14.98,14.98,14.98,000,14.888839
2016-07-25,14.97,14.97,14.97,14.97,000,14.878901
2016-07-22,14.99,14.99,14.99,14.99,000,14.898779
2016-07-21,14.97,14.97,14.97,14.97,000,14.878901
2016-07-20,14.94,14.94,14.94,14.94,000,14.849083
2016-07-19,15.01,15.01,15.01,15.01,000,14.918658
2016-07-18,14.93,14.93,14.93,14.93,000,14.839144
2016-07-15,14.95,14.95,14.95,14.95,000,14.859022
2016-07-14,15.05,15.05,15.05,15.05,000,14.958414
2016-07-13,15.21,15.21,15.21,15.21,000,15.11744
2016-07-12,15.08,15.08,15.08,15.08,000,14.988231
2016-07-11,15.24,15.24,15.24,15.24,000,15.147257
2016-07-08,15.31,15.31,15.31,15.31,000,15.216832
2016-07-07,15.21,15.21,15.21,15.21,000,15.11744
2016-07-06,15.20,15.20,15.20,15.20,000,15.107501
2016-07-05,15.16,15.16,15.16,15.16,000,15.067744
2016-07-01,14.99,14.99,14.99,14.99,000,14.898779
2016-06-30,14.83,14.83,14.83,14.83,000,14.739753
2016-06-29,14.79,14.79,14.79,14.79,000,14.65527
2016-06-28,14.85,14.85,14.85,14.85,000,14.714723
2016-06-27,14.82,14.82,14.82,14.82,000,14.684996
2016-06-24,14.55,14.55,14.55,14.55,000,14.417456
2016-06-23,14.36,14.36,14.36,14.36,000,14.229186
2016-06-22,14.44,14.44,14.44,14.44,000,14.308458
2016-06-21,14.42,14.42,14.42,14.42,000,14.28864
2016-06-20,14.45,14.45,14.45,14.45,000,14.318367
2016-06-17,14.56,14.56,14.56,14.56,000,14.427365
2016-06-16,14.62,14.62,14.62,14.62,000,14.486818
2016-06-15,14.58,14.58,14.58,14.58,000,14.447183
2016-06-14,14.55,14.55,14.55,14.55,000,14.417456
2016-06-13,14.59,14.59,14.59,14.59,000,14.457092
2016-06-10,14.55,14.55,14.55,14.55,000,14.417456
2016-06-09,14.52,14.52,14.52,14.52,000,14.38773
2016-06-08,14.45,14.45,14.45,14.45,000,14.318367
2016-06-07,14.38,14.38,14.38,14.38,000,14.249005
2016-06-06,14.34,14.34,14.34,14.34,000,14.209369
2016-06-03,14.42,14.42,14.42,14.42,000,14.28864
2016-06-02,14.26,14.26,14.26,14.26,000,14.130098
2016-06-01,14.18,14.18,14.18,14.18,000,14.050827
2016-05-31,14.15,14.15,14.15,14.15,000,14.021099
2016-05-27,14.13,14.13,14.13,14.13,000,13.955701
2016-05-26,14.14,14.14,14.14,14.14,000,13.965578
2016-05-25,14.07,14.07,14.07,14.07,000,13.896441
2016-05-24,14.10,14.10,14.10,14.10,000,13.926072
2016-05-23,14.14,14.14,14.14,14.14,000,13.965578
2016-05-20,14.13,14.13,14.13,14.13,000,13.955701
2016-05-18,14.11,14.11,14.11,14.11,000,13.935948
2016-05-17,14.26,14.26,14.26,14.26,000,14.084098
2016-05-16,14.26,14.26,14.26,14.26,000,14.084098
2016-05-13,14.36,14.36,14.36,14.36,000,14.182864
2016-05-12,14.26,14.26,14.26,14.26,000,14.084098
2016-05-11,14.31,14.31,14.31,14.31,000,14.133481
2016-05-10,14.25,14.25,14.25,14.25,000,14.074221
2016-05-09,14.24,14.24,14.24,14.24,000,14.064344
2016-05-06,14.22,14.22,14.22,14.22,000,14.044591
2016-05-05,14.29,14.29,14.29,14.29,000,14.113728
2016-05-04,14.23,14.23,14.23,14.23,000,14.054467
2016-05-03,14.19,14.19,14.19,14.19,000,14.014961
2016-05-02,14.07,14.07,14.07,14.07,000,13.896441
2016-04-29,14.18,14.18,14.18,14.18,000,14.005085
2016-04-28,14.14,14.14,14.14,14.14,000,13.921134
2016-04-27,14.08,14.08,14.08,14.08,000,13.862062
2016-04-26,13.98,13.98,13.98,13.98,000,13.763609
2016-04-25,14.02,14.02,14.02,14.02,000,13.802991
2016-04-22,14.05,14.05,14.05,14.05,000,13.832527
2016-04-21,14.07,14.07,14.07,14.07,000,13.852216
2016-04-20,14.11,14.11,14.11,14.11,000,13.891597
2016-04-19,14.20,14.20,14.20,14.20,000,13.980204
2016-04-18,14.20,14.20,14.20,14.20,000,13.980204
2016-04-15,14.24,14.24,14.24,14.24,000,14.019585
2016-04-14,14.14,14.14,14.14,14.14,000,13.921134
2016-04-13,14.17,14.17,14.17,14.17,000,13.950669
2016-04-12,14.12,14.12,14.12,14.12,000,13.901443
2016-04-11,14.18,14.18,14.18,14.18,000,13.960514
2016-04-08,14.19,14.19,14.19,14.19,000,13.970359
2016-04-07,14.25,14.25,14.25,14.25,000,14.029431
2016-04-06,14.13,14.13,14.13,14.13,000,13.911288
2016-04-05,14.20,14.20,14.20,14.20,000,13.980204
2016-04-04,14.09,14.09,14.09,14.09,000,13.871907
2016-04-01,14.08,14.08,14.08,14.08,000,13.862062
2016-03-31,14.04,14.04,14.04,14.04,000,13.822681
2016-03-30,13.96,13.96,13.96,13.96,000,13.697647
2016-03-29,14.06,14.06,14.06,14.06,000,13.795768
2016-03-28,13.94,13.94,13.94,13.94,000,13.678022
2016-03-24,13.93,13.93,13.93,13.93,000,13.668211
2016-03-23,13.94,13.94,13.94,13.94,000,13.678022
2016-03-22,13.81,13.81,13.81,13.81,000,13.550466
2016-03-21,13.80,13.80,13.80,13.80,000,13.540654
2016-03-18,13.86,13.86,13.86,13.86,000,13.599526
2016-03-17,13.81,13.81,13.81,13.81,000,13.550466
2016-03-16,13.75,13.75,13.75,13.75,000,13.491593
2016-03-15,13.71,13.71,13.71,13.71,000,13.452345
2016-03-14,13.68,13.68,13.68,13.68,000,13.422909
2016-03-11,13.61,13.61,13.61,13.61,000,13.354224
2016-03-10,13.68,13.68,13.68,13.68,000,13.422909
2016-03-09,13.70,13.70,13.70,13.70,000,13.442533
2016-03-08,13.75,13.75,13.75,13.75,000,13.491593
2016-03-07,13.62,13.62,13.62,13.62,000,13.364036
2016-03-04,13.60,13.60,13.60,13.60,000,13.344413
2016-03-03,13.65,13.65,13.65,13.65,000,13.393472
2016-03-02,13.60,13.60,13.60,13.60,000,13.344413
2016-03-01,13.54,13.54,13.54,13.54,000,13.28554
2016-02-29,13.68,13.68,13.68,13.68,000,13.422909
2016-02-26,13.64,13.64,13.64,13.64,000,13.340488
2016-02-25,13.72,13.72,13.72,13.72,000,13.418731
2016-02-24,13.67,13.67,13.67,13.67,000,13.369829
2016-02-23,13.68,13.68,13.68,13.68,000,13.379609
2016-02-22,13.64,13.64,13.64,13.64,000,13.340488
2016-02-19,13.63,13.63,13.63,13.63,000,13.330707
2016-02-18,13.62,13.62,13.62,13.62,000,13.320926
2016-02-17,13.48,13.48,13.48,13.48,000,13.184
2016-02-16,13.54,13.54,13.54,13.54,000,13.242683
2016-02-12,13.63,13.63,13.63,13.63,000,13.330707
2016-02-11,13.80,13.80,13.80,13.80,000,13.496974
2016-02-10,13.80,13.80,13.80,13.80,000,13.496974
2016-02-09,13.72,13.72,13.72,13.72,000,13.418731
2016-02-08,13.73,13.73,13.73,13.73,000,13.428511
2016-02-05,13.54,13.54,13.54,13.54,000,13.242683
2016-02-04,13.53,13.53,13.53,13.53,000,13.232902
2016-02-03,13.48,13.48,13.48,13.48,000,13.184
2016-02-02,13.58,13.58,13.58,13.58,000,13.281805
2016-02-01,13.42,13.42,13.42,13.42,000,13.125318
2016-01-29,13.46,13.46,13.46,13.46,000,13.16444
2016-01-28,13.39,13.39,13.39,13.39,000,13.050009
2016-01-27,13.38,13.38,13.38,13.38,000,13.040263
2016-01-26,13.40,13.40,13.40,13.40,000,13.059755
2016-01-25,13.40,13.40,13.40,13.40,000,13.059755
2016-01-22,13.35,13.35,13.35,13.35,000,13.011025
2016-01-21,13.38,13.38,13.38,13.38,000,13.040263
2016-01-20,13.46,13.46,13.46,13.46,000,13.118232
2016-01-19,13.42,13.42,13.42,13.42,000,13.079247
2016-01-15,13.47,13.47,13.47,13.47,000,13.127978
2016-01-14,13.36,13.36,13.36,13.36,000,13.020771
2016-01-13,13.48,13.48,13.48,13.48,000,13.137723
2016-01-12,13.40,13.40,13.40,13.40,000,13.059755
2016-01-11,13.27,13.27,13.27,13.27,000,12.933057
2016-01-08,13.39,13.39,13.39,13.39,000,13.050009
2016-01-07,13.36,13.36,13.36,13.36,000,13.020771
2016-01-06,13.35,13.35,13.35,13.35,000,13.011025
2016-01-05,13.22,13.22,13.22,13.22,000,12.884326
2016-01-04,13.26,13.26,13.26,13.26,000,12.92331
2015-12-31,13.20,13.20,13.20,13.20,000,12.864833
2015-12-30,13.15,13.15,13.15,13.15,000,12.770296
2015-12-29,13.16,13.16,13.16,13.16,000,12.780007
