Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,12.00,12.00,12.00,12.00,000,12.00
2016-09-12,12.03,12.03,12.03,12.03,000,12.03
2016-09-09,12.05,12.05,12.05,12.05,000,12.05
2016-09-08,12.08,12.08,12.08,12.08,000,12.08
2016-09-07,12.09,12.09,12.09,12.09,000,12.09
2016-09-06,12.09,12.09,12.09,12.09,000,12.09
2016-09-02,12.09,12.09,12.09,12.09,000,12.09
2016-09-01,12.10,12.10,12.10,12.10,000,12.10
2016-08-31,12.10,12.10,12.10,12.10,000,12.10
2016-08-30,12.10,12.10,12.10,12.10,000,12.064
2016-08-29,12.10,12.10,12.10,12.10,000,12.064
2016-08-26,12.11,12.11,12.11,12.11,000,12.07397
2016-08-25,12.11,12.11,12.11,12.11,000,12.07397
2016-08-24,12.11,12.11,12.11,12.11,000,12.07397
2016-08-23,12.11,12.11,12.11,12.11,000,12.07397
2016-08-22,12.11,12.11,12.11,12.11,000,12.07397
2016-08-19,12.11,12.11,12.11,12.11,000,12.07397
2016-08-18,12.11,12.11,12.11,12.11,000,12.07397
2016-08-17,12.10,12.10,12.10,12.10,000,12.064
2016-08-16,12.10,12.10,12.10,12.10,000,12.064
2016-08-15,12.10,12.10,12.10,12.10,000,12.064
2016-08-12,12.10,12.10,12.10,12.10,000,12.064
2016-08-11,12.09,12.09,12.09,12.09,000,12.05403
2016-08-10,12.09,12.09,12.09,12.09,000,12.05403
2016-08-09,12.07,12.07,12.07,12.07,000,12.034089
2016-08-08,12.07,12.07,12.07,12.07,000,12.034089
2016-08-05,12.07,12.07,12.07,12.07,000,12.034089
2016-08-04,12.09,12.09,12.09,12.09,000,12.05403
2016-08-03,12.07,12.07,12.07,12.07,000,12.034089
2016-08-02,12.07,12.07,12.07,12.07,000,12.034089
2016-08-01,12.09,12.09,12.09,12.09,000,12.05403
2016-07-29,12.10,12.10,12.10,12.10,000,12.064
2016-07-28,12.10,12.10,12.10,12.10,000,12.027111
2016-07-27,12.09,12.09,12.09,12.09,000,12.017171
2016-07-26,12.08,12.08,12.08,12.08,000,12.007231
2016-07-25,12.08,12.08,12.08,12.08,000,12.007231
2016-07-22,12.08,12.08,12.08,12.08,000,12.007231
2016-07-21,12.08,12.08,12.08,12.08,000,12.007231
2016-07-20,12.09,12.09,12.09,12.09,000,12.017171
2016-07-19,12.09,12.09,12.09,12.09,000,12.017171
2016-07-18,12.09,12.09,12.09,12.09,000,12.017171
2016-07-15,12.10,12.10,12.10,12.10,000,12.027111
2016-07-14,12.13,12.13,12.13,12.13,000,12.05693
2016-07-13,12.15,12.15,12.15,12.15,000,12.076809
2016-07-12,12.15,12.15,12.15,12.15,000,12.076809
2016-07-11,12.18,12.18,12.18,12.18,000,12.106629
2016-07-08,12.19,12.19,12.19,12.19,000,12.116568
2016-07-07,12.19,12.19,12.19,12.19,000,12.116568
2016-07-06,12.20,12.20,12.20,12.20,000,12.126508
2016-07-05,12.20,12.20,12.20,12.20,000,12.126508
2016-07-01,12.17,12.17,12.17,12.17,000,12.096689
2016-06-30,12.16,12.16,12.16,12.16,000,12.086749
